Фраза = Перевод | Частота | Важность DGT | Самостоятельная ценность | Маркерная ценность | Частотность слов ÷ 6 | Общий рейтинг
rebasar un vehículo parado = объехать стоящее транспортное средство | 1 | 0 | 1 | 0 | 9.67 | 11.67
vehículo averiado = неисправное транспортное средство | 1 | 0 | 1 | 0 | 9.67 | 11.67
vehículo detenido = остановившееся транспортное средство | 1 | 0 | 1 | 0 | 9.67 | 11.67
vehículo estacionado = припаркованное транспортное средство | 1 | 0 | 1 | 0 | 9.67 | 11.67
vehículo parado = стоящее транспортное средство | 1 | 0 | 1 | 0 | 9.67 | 11.67
por litro de aire espirado = на литр выдыхаемого воздуха | 1 | 2 | 2 | 6 | 0.5 | 11.5
por regla general = по общему правилу | 1 | 3 | 2 | 5 | 0.5 | 11.5
orden de prioridad = порядок приоритета | 1 | 2 | 2 | 5 | 1.5 | 11.5
cuando no pretende adelantar = когда не собирается обгонять | 1 | 2 | 2 | 3 | 3.5 | 11.5
if no pretende adelantar = если вы не намерены обгонять | 1 | 2 | 2 | 3 | 3.5 | 11.5
no se pretende adelantar = Не намереваетесь обогнать | 1 | 2 | 2 | 3 | 3.5 | 11.5
Si no pretende adelantar = если не планирует обгон | 1 | 2 | 2 | 3 | 3.5 | 11.5
Exceso de seguridad en sí mismo = Чрезмерная уверенность в себе. | 1 | 2 | 2 | 2 | 4.5 | 11.5
todo usuario de la vía = каждый участник дорожного движения | 1 | 0 | 2 | 0 | 8.5 | 11.5
El vehículo que entre primero = Транспортное средство, въезжающее первым. | 1 | 0 | 1 | 0 | 9.5 | 11.5
ocupantes del vehículo = находящиеся в транспортном средстве лица | 1 | 0 | 1 | 0 | 9.5 | 11.5
otro vehículo está adelantando = другой автомобиль совершает обгон | 1 | 0 | 1 | 0 | 9.5 | 11.5
niebla densa = густой туман | 1 | 2 | 1 | 6 | 1.33 | 11.33
si no va a adelantar = если вы не собираетесь обгонять | 1 | 2 | 2 | 3 | 3.33 | 11.33
¿cuál es su tasa máxima permitida de alcohol? = каков максимально позволенный уровень алкоголя? | 1 | 2 | 2 | 3 | 3.33 | 11.33
señal vertical = вертикальный дорожный знак | 1 | 2 | 1 | 3 | 4.33 | 11.33
tramo de vía = участок дороги | 1 | 0 | 2 | 0 | 8.33 | 11.33
Cuando se inmovilice el vehículo = Когда транспортное средство обездвижено | 1 | 0 | 1 | 0 | 9.33 | 11.33
dirigir el vehículo = направить транспортное средство | 1 | 0 | 1 | 0 | 9.33 | 11.33
el vehículo = транспортное средство, автомобиль | 1 | 0 | 1 | 0 | 9.33 | 11.33
obligatorio utilizar = обязательно к использованию | 1 | 0 | 1 | 0 | 9.33 | 11.33
vehículo adelantado = обгоняемое транспортное средство | 1 | 0 | 1 | 0 | 9.33 | 11.33
vehículo mixto adaptable = грузопассажирский автомобиль (трансформируемый) | 1 | 0 | 1 | 0 | 9.33 | 11.33
vehículo pesado = тяжёлое транспортное средство | 1 | 0 | 1 | 0 | 9.33 | 11.33
vehículo prioritario = транспортное средство с приоритетом | 1 | 0 | 1 | 0 | 9.33 | 11.33
vehículo voluminoso = объемное транспортное средство | 1 | 0 | 1 | 0 | 9.33 | 11.33
llevar el cinturón bien ajustado = носить ремень правильно и плотно отрегулированным | 1 | 2 | 2 | 3 | 3.17 | 11.17
llevar el cinturón con holgura = носить ремень с провисанием | 1 | 2 | 2 | 3 | 3.17 | 11.17
peatón fallecido = погибший пешеход | 1 | 2 | 1 | 3 | 4.17 | 11.17
cuando no se comprometa la seguridad = когда это не ставит под угрозу безопасность | 1 | 2 | 2 | 2 | 4.17 | 11.17
medida de seguridad = мера безопасности | 1 | 2 | 2 | 2 | 4.17 | 11.17
no tener visibilidad suficiente = не иметь достаточной видимости | 1 | 2 | 1 | 2 | 5.17 | 11.17
tener visibilidad suficiente = иметь достаточную видимость | 1 | 2 | 1 | 2 | 5.17 | 11.17
tiempo de reacción = время реакции | 1 | 0 | 3 | 5 | 2 | 11
señal acústica = звуковой сигнал | 1 | 2 | 1 | 3 | 4 | 11
señal luminosa = световой сигнал | 1 | 2 | 1 | 3 | 4 | 11
arrastrar una motocicleta = катить мотоцикл | 1 | 2 | 2 | 2 | 4 | 11
empujar una motocicleta = толкать мотоцикл | 1 | 2 | 2 | 2 | 4 | 11
entrar en otra vía = въезжать на другую дорогу | 1 | 0 | 2 | 0 | 8 | 11
vía insuficientemente iluminada = недостаточно освещённая дорога | 1 | 0 | 2 | 0 | 8 | 11
puede arrastrar un remolque = можете тащить прицеп | 1 | 2 | 2 | 3 | 2.83 | 10.83
velocidad mínima = минимальная скорость | 1 | 2 | 1 | 3 | 3.83 | 10.83
se pueden utilizar = Можно ли использовать | 1 | 3 | 2 | 0 | 4.83 | 10.83
Sí, salvo que = Да, если только | 1 | 3 | 1 | 5 | 0.67 | 10.67
Sí, salvo que se prohíba = Да, если это не запрещено | 1 | 3 | 1 | 5 | 0.67 | 10.67
prioridad respecto al sentido contrario = приоритет перед встречным движением | 1 | 3 | 1 | 3 | 2.67 | 10.67
Adelantar no es lo mismo que rebasar. = Обгон — это не то же самое, что объезд. | 1 | 2 | 1 | 3 | 3.67 | 10.67
velocidad lenta = низкая (медленная) скорость | 1 | 2 | 1 | 3 | 3.67 | 10.67
velocidad sostenida = устойчивая скорость | 1 | 2 | 1 | 3 | 3.67 | 10.67
¿está permitido girar a la izquierda? = разрешено ли поворачивать налево? | 1 | 3 | 2 | 2 | 2.67 | 10.67
disminuyan sensiblemente la visibilidad = значительно уменьшают видимость | 1 | 2 | 2 | 2 | 3.67 | 10.67
Luz de emergencia = аварийка | 1 | 0 | 2 | 5 | 2.5 | 10.5
percibir la señalización = заметить сигнал | 1 | 2 | 2 | 3 | 2.5 | 10.5
factor de riesgo = фактор риска | 1 | 2 | 2 | 2 | 3.5 | 10.5
motocicleta de dos ruedas = двухколёсный мотоцикл | 1 | 2 | 2 | 2 | 3.5 | 10.5
situación de riesgo = опасная ситуация | 1 | 2 | 2 | 2 | 3.5 | 10.5
Cómo se puede evitar = как этого можно избежать | 1 | 3 | 2 | 0 | 4.5 | 10.5
¿Qué actuación debe evitar...? = Какого действия следует избегать? | 1 | 3 | 1 | 0 | 5.5 | 10.5
casco no tiene visera = шлем без козырька ( Вот этого прозрачного) | 1 | 3 | 1 | 4 | 1.33 | 10.33
luz antiniebla = противотуманная фара | 1 | 2 | 3 | 3 | 1.33 | 10.33
Comprobar presión de neumáticos = проверить давление шин | 1 | 2 | 2 | 3 | 2.33 | 10.33
las señales de circulación = дорожные знаки / сигналы дорожного движения | 1 | 2 | 2 | 3 | 2.33 | 10.33
prioridad de paso = преимущество проезда | 1 | 2 | 2 | 3 | 2.33 | 10.33
llevar puesto el cinturón = → быть пристёгнутым ремнём | 1 | 2 | 1 | 3 | 3.33 | 10.33
condiciones normales de visibilidad = нормальные условия видимости | 1 | 2 | 2 | 2 | 3.33 | 10.33
qué debe tener en cuenta? = что следует иметь в виду | 1 | 3 | 2 | 0 | 4.33 | 10.33
lo que sucede en la vía = что происходит на дороге | 1 | 0 | 2 | 0 | 7.33 | 10.33
casco protector = защитный шлем | 1 | 3 | 1 | 4 | 1.17 | 10.17
impedir la visibilidad = ограничивать обзор | 1 | 2 | 2 | 2 | 3.17 | 10.17
riesgo de lesiones = риск травм | 1 | 2 | 2 | 2 | 3.17 | 10.17
terminar el adelantamiento = завершить обгон | 1 | 2 | 1 | 2 | 4.17 | 10.17
comportamiento debe evitar = поведения следует избегать | 1 | 3 | 1 | 0 | 5.17 | 10.17
causar accidentes = вызывать аварии | 1 | 3 | 1 | 4 | 1 | 10
alumbrado de posición = габаритные огни | 1 | 2 | 2 | 2 | 3 | 10
con seguridad = с уверенностью, наверняка | 1 | 2 | 1 | 2 | 4 | 10
Cuando termine el adelantamiento = Когда обгон завершен | 1 | 2 | 1 | 2 | 4 | 10
desistir del adelantamiento = отказаться от обгона | 1 | 2 | 1 | 2 | 4 | 10
seguridad activa = активная безопасность | 1 | 2 | 1 | 2 | 4 | 10
seguridad pasiva = пассивная безопасность | 1 | 2 | 1 | 2 | 4 | 10
Se puede conducir = Можно ли водить | 1 | 3 | 2 | 0 | 4 | 10
afectar al conductor = влиять на водителя | 1 | 0 | 1 | 0 | 8 | 10
con prioridad de la derecha = приоритет имеет тот, кто приближается справа | 1 | 2 | 2 | 3 | 1.83 | 9.83
regla de prioridad a la derecha = правило помехи справа | 1 | 2 | 2 | 3 | 1.83 | 9.83
el carril izquierdo = левая полоса | 1 | 2 | 1 | 3 | 2.83 | 9.83
Girar a la derecha = повернуть направо | 2 | 2 | 2 | 2 | 1.83 | 9.83
adecuada percepción del riesgo = правильная оценка опасности | 1 | 2 | 2 | 2 | 2.83 | 9.83
existir riesgo de = существовать риск | 1 | 2 | 1 | 2 | 3.83 | 9.83
visibilidad suficiente = достаточная видимость | 1 | 2 | 1 | 2 | 3.83 | 9.83
Se pueden evitar = Их можно избежать | 1 | 3 | 2 | 0 | 3.83 | 9.83
consumo de alcohol y drogas = употребление алкоголя и наркотиков | 1 | 2 | 2 | 3 | 1.67 | 9.67
tener prioridad = иметь преимущество | 1 | 2 | 1 | 3 | 2.67 | 9.67
riesgo de deslizamiento = риск скольжения | 1 | 2 | 2 | 2 | 2.67 | 9.67
sistema de retención infantil (SRI) = детская удерживающая система | 1 | 2 | 2 | 2 | 2.67 | 9.67
borde del neumático = край шины | 1 | 2 | 2 | 3 | 1.5 | 9.5
obedecer las señales dirigidas a los conductores = подчиняться сигналам, адресованным водителям | 1 | 2 | 2 | 3 | 1.5 | 9.5
Girar a la izquierda = повернуть налево | 2 | 2 | 2 | 2 | 1.5 | 9.5
llevar la documentación = → иметь при себе документы | 1 | 2 | 2 | 2 | 2.5 | 9.5
luz de carretera = дальний свет | 1 | 2 | 2 | 2 | 2.5 | 9.5
arrastra un remolque ligero = буксировка лёгкого прицепа | 1 | 2 | 2 | 3 | 1.33 | 9.33
Excepcionalmente, puede adelantarse = В виде исключения можно обгонять | 1 | 2 | 2 | 3 | 1.33 | 9.33
emplear las señales acústicas = использовать звуковые сигналы | 1 | 2 | 1 | 3 | 2.33 | 9.33
excepto motocicletas = кроме мотоциклов | 1 | 3 | 1 | 2 | 2.33 | 9.33
Detenerse sin colisionar = Безопасное расстояние (Остановиться без столкновения) | 1 | 2 | 2 | 2 | 2.33 | 9.33
Hacemos una parada = выполняем остановку | 1 | 2 | 2 | 2 | 2.33 | 9.33
intención de detenerse = намерение остановиться | 1 | 2 | 2 | 2 | 2.33 | 9.33
apagar el motor = заглушить (выключить) двигатель | 2 | 2 | 1 | 2 | 2.33 | 9.33
implicar algún riesgo = сопряжено с определенным риском | 1 | 2 | 1 | 2 | 3.33 | 9.33
visibilidad lateral = боковая видимость | 1 | 2 | 1 | 2 | 3.33 | 9.33
vía ancha = широкая дорога | 1 | 0 | 1 | 0 | 7.33 | 9.33
vía estrecha = узкая дорога | 1 | 0 | 1 | 0 | 7.33 | 9.33
En aquellos lugares habilitados por la señalización = В тех местах, где это разрешается указаниями | 1 | 2 | 2 | 3 | 1.17 | 9.17
señales dirigidas a los conductores = сигналы, адресованные водителям | 1 | 2 | 2 | 3 | 1.17 | 9.17
permiso de conducción = водительское удостоверение | 1 | 2 | 2 | 2 | 2.17 | 9.17
que permita detenerse = что позволяет остановиться | 1 | 2 | 2 | 2 | 2.17 | 9.17
si no tiene visibilidad = если нет видимости | 1 | 2 | 1 | 2 | 3.17 | 9.17
caso de sufrir un reventón = в случае прорыва шины | 1 | 2 | 2 | 2 | 2 | 9
Por la autopista = по автомагистрали | 1 | 2 | 2 | 2 | 2 | 9
siniestros de tráfico = дорожные происшествия | 1 | 2 | 2 | 2 | 2 | 9
visibilidad insuficiente = недостаточная видимость | 1 | 2 | 1 | 2 | 3 | 9
comportamiento del conductor = поведение водителя | 1 | 0 | 1 | 0 | 7 | 9
echar el freno de mano = затянуть ручной тормоз | 1 | 2 | 2 | 2 | 1.83 | 8.83
Indicador freno de mano = индикатор ручника | 1 | 2 | 2 | 2 | 1.83 | 8.83
Ponga el freno de mano = поставьте на ручник | 1 | 2 | 2 | 2 | 1.83 | 8.83
sin provocar riesgos a los demás usuarios. = не подвергая риску других пользователей. | 1 | 2 | 2 | 2 | 1.83 | 8.83
cómo debe distribuirse la mercancía = как должен распределяться товар | 1 | 3 | 2 | 0 | 2.83 | 8.83
nunca debe hacerse = никогда не должно делаться | 1 | 3 | 2 | 0 | 2.83 | 8.83
ocupar el carril destinado a la circulación en sentido contrario = занять полосу встречного движения | 1 | 0 | 2 | 0 | 5.83 | 8.83
señalización horizontal = горизонтальная разметка | 1 | 2 | 1 | 3 | 1.67 | 8.67
pisa el freno = нажал на тормоз | 1 | 2 | 2 | 2 | 1.67 | 8.67
sistema de sujeción = система удержания | 1 | 2 | 2 | 2 | 1.67 | 8.67
sistemas de retención infantil = детские удерживающие системы (детские кресла / бустеры) | 1 | 2 | 2 | 2 | 1.67 | 8.67
Constituye un riesgo = Представляет собой риск | 1 | 2 | 1 | 2 | 2.67 | 8.67
percepción del riesgo = восприятие риска | 1 | 2 | 1 | 2 | 2.67 | 8.67
sin riesgo = без опасности | 1 | 2 | 1 | 2 | 2.67 | 8.67
obligatorio para bicicletas = обязательно для велосипедов | 1 | 0 | 2 | 0 | 5.67 | 8.67
ningún conductor = ни один водитель | 1 | 0 | 1 | 0 | 6.67 | 8.67
hacer señales acústicas = подавать звуковые сигналы | 1 | 2 | 1 | 3 | 1.5 | 8.5
Luz de posición = габариты | 1 | 2 | 2 | 2 | 1.5 | 8.5
Usado marcha atrás = используя задний ход | 1 | 2 | 2 | 2 | 1.5 | 8.5
siempre que = при условии что | 3 | 3 | 1 | 0 | 1.5 | 8.5
con prioridad = с приоритетом (приоритет у вас) | 1 | 2 | 1 | 3 | 1.33 | 8.33
luces antiniebla = противотуманные фары | 1 | 2 | 1 | 3 | 1.33 | 8.33
remolque ligero = лёгкий прицеп | 1 | 2 | 1 | 3 | 1.33 | 8.33
colisión por alcance = столкновение сзади | 1 | 2 | 2 | 2 | 1.33 | 8.33
niebla no espesa = туман не густой | 1 | 2 | 2 | 2 | 1.33 | 8.33
Vamos por la autovía = едем по автостраде | 1 | 2 | 2 | 2 | 1.33 | 8.33
siempre que sea posible = если это возможно | 1 | 3 | 2 | 0 | 2.33 | 8.33
¿A cuál se debe obedecer? = Какому из них следует подчиняться? | 1 | 3 | 2 | 0 | 2.33 | 8.33
detenerse lo más lejos = остановка как можно дальше | 1 | 2 | 1 | 2 | 2.17 | 8.17
pisar el freno muy fuerte = сильно нажимать на тормоз | 1 | 2 | 1 | 2 | 2.17 | 8.17
sin detenerse = не останавливаясь | 1 | 2 | 1 | 2 | 2.17 | 8.17
Líquido de frenos = тормозная жидкость | 1 | 2 | 2 | 2 | 1 | 8
pisar el freno = нажимать на тормоз | 1 | 2 | 1 | 2 | 2 | 8
con fines de distracción = для целей отвлечения | 1 | 0 | 2 | 0 | 5 | 8
para evitar los peligros que causa = чтобы избежать опасностей, связанных с | 1 | 0 | 2 | 0 | 5 | 8
evitar conducir = избегать вождения | 1 | 0 | 1 | 0 | 6 | 8
cumplir las señales = соблюдать сигналы и знаки | 1 | 2 | 1 | 3 | 0.83 | 7.83
pérdida de vigencia = утрата действия удостоверения | 1 | 2 | 2 | 2 | 0.83 | 7.83
el motor muy revolucionado = двигатель работает на очень высоких оборотах | 1 | 2 | 1 | 2 | 1.83 | 7.83
largas y el motor poco revolucionado = высокие передачи и низкие обороты двигателя | 1 | 2 | 1 | 2 | 1.83 | 7.83
No, está prohibido = Нет, это запрещено | 2 | 3 | 1 | 0 | 1.83 | 7.83
Antiniebla trasero = задние противотуманки | 1 | 2 | 1 | 3 | 0.67 | 7.67
Arrancar el motor = Запустите двигатель | 1 | 2 | 1 | 2 | 1.67 | 7.67
